RowName,MonsterID,DisplayName_KR,MonsterCategory,Theme_KR,AppearFloor,BaseHP,BaseATK,BaseDEF,Skill1_ID,Skill1_Weight,Skill2_ID,Skill2_Weight,Skill3_ID,Skill3_Weight,PassiveID,SpecialMechanic_Notes,SkeletalMesh,AnimMontageTag,Concept_KR
mon_slime,M_S_B01,슬라임,Normal,슬라임 왕국,표층,25,0,0,,0,,0,,0,,,,,기본적인 슬라임
mon_healslime,M_S_B02,힐 슬라임,Normal,슬라임 왕국,표층,22,0,0,,0,,0,,0,,,,,회복을 사용하는 슬라임
mon_lavaslime,M_S_B03,라바 슬라임,Normal,슬라임 왕국,표층,27,0,0,,0,,0,,0,,,,,방어를 하락시키는 [용암] 상태이상을 활용하는 슬라임
mon_redslime,M_S_B04,레드 슬라임,Normal,슬라임 왕국,표층,30,0,0,,0,,0,,0,,"기본 슬라임과 동일 스킬 구성, 스탯만 상향하여 차별화",,,기본 슬라임보다 조금 강한 슬라임
mon_poisonslime,M_S_B05,포이즌 슬라임,Normal,슬라임 왕국,표층,26,0,0,,0,,0,,0,,,,,지속 데미지를 주는 [중독] 공격을 하는 슬라임
mon_iceslime,M_S_B06,아이스 슬라임,Normal,슬라임 왕국,표층,24,0,0,,0,,0,,0,,,,,[얼음] 상태이상을 통해 공격력을 감소시키는 슬라임
mon_mudslime,M_S_B07,머드 슬라임,Normal,슬라임 왕국,표층,28,0,0,,0,,0,,0,PAS_MudShield,,,,"피격 시 보호막을 획득하는 패시브를 가진 슬라임
패시브: 체력이 소모될 시 3의 보호막을 획득한다."
mon_metalslime,M_S_G01,메탈 슬라임,Guardian,슬라임 왕국,표층,58,0,5,,0,,0,,0,,"높은 DEF 스탯 자체가 핵심 특징, 스킬은 보조 수단",,,방어력이 높은 단단한 슬라임
mon_acidslime,M_S_G02,에씨드 슬라임,Guardian,슬라임 왕국,표층,47,0,0,,0,,0,,0,,EnergyCostDebuff는 순수 디버프(피해 없음) — 대상 스킬 에너지 소모량 +1,,,스킬의 에너지 사용량을 1 높이는 디버프를 거는 슬라임
mon_acientslime,M_S_G03,에이션트 슬라임,Guardian,슬라임 왕국,표층,55,0,0,,0,,0,,0,PAS_AirsandRevive,"부활할 때마다 ATK/DEF 누적 변동(ReviveATKMod/ReviveDEFMod 값만큼), 최대 3회",,,"3번 부활하는 슬라임. 부활할 때마다 공격 증가, 방어 감소   패시브: 3번 부활. 부활할때마다 공격 1증가 방어 1 감소"
mon_slimegeneral,M_S_G04,슬라임 장군,Guardian,슬라임 왕국,표층,65,2,0,,0,,0,,0,,,,,"강력한 공격력을 바탕으로 전투하는 슬라임
랜덤한 일반 슬라임 몬스터 2마리와 같이 스폰된다"
mon_fusionslime,M_S_B01,퓨전 슬라임,Boss,슬라임 왕국,1층,75,0,0,,0,,0,,0,,라바/포이즌/아이스의 상태이상을 확률적으로 동시에 걸 수 있는 새로운 스킬,,,"라바, 포이즌, 아이스 슬라임의 기술을 모두 사용하는 슬라임 기술 한 개가 3가지 상태이상을 확률적으로 모두 제어한다."
mon_slimeking,M_S_B02,슬라임 킹,Boss,슬라임 왕국,2층,100,0,0,,0,,0,,0,PAS_SlimeRingSummon;PAS_SlimeRingDamageCap,전투 시작 시 가디언 몬스터 1종을 랜덤 소환. 소환된 가디언이 모두 처치되기 전까지 본체가 받는 피해는 1로 고정됨 — Summon 시스템 및 DamageCap 로직 별도 구현 필요(5개 기본 EffectType 범위 밖),,,"가디언 몬스터를 1마리 소환한 채로 전투를 진행한다. 자체 전투력은 낮지만, 가디언 몬스터를 처치하기 전까지 데미지가 1만 입는다.
패시브: 가디언 몬스터가 존재할 경우 한번의 공격에 받는 데미지는 1로 고정된다."
