RowName,SkillID,DisplayName_KR,OwnerClass,SkillCategory,SkillType,SkillTier,ActionKind,TargetType,EnergyCost,SkillEnergyCost,BaseValue,ScalingStat,ScalingRatio,HitCount,SecondaryValue,StatusEffect,StatusValue,StatusDuration,SelfDamage,IconID,AnimMontageTag,VFXTag,SFXTag,Description_KR,Notes
fighter_attack,SK_FTR_001,공격 태세,Fighter,Basic,Attack,Surface,HitEnemyMulti,SingleEnemy,1,0,3,ATK,1,2,0,None,0,0,0,,,,,1명의 적에게 (3+공격) 피해를 2회 준다.,
fighter_defend,SK_FTR_002,방어 태세,Fighter,Basic,Defense,Surface,ShieldSelf,Self,1,0,6,DEF,1,1,0,None,0,0,0,,,,,자신에게 (6+방어)의 보호막을 생성한다.,
fighter_special,SK_FTR_003,반격 태세,Fighter,Basic,Special,Surface,ShieldSelfCounter,Self,1,0,3,DEF,1,1,2,Counter,1,1,0,,,,,자신에게 (3+방어) 보호막을 얻고 1사이클 동안 (2+방어)의 피해를 반사하는 반격을 부여한다.,"StatusValue=1(반격 스택), StatusDuration=1사이클 SecondaryValue = (반격 기본 데미지)"
engineer_attack,SK_ENG_001,마도 캐논 발사,Engineer,Basic,Attack,Surface,HitEnemySingleAoe,SingleEnemy,1,0,5,ATK,1,1,2,None,0,0,0,,,,,"1명의 적에게 (5+공격), 전체 적에게 추가로 (2+공격) 피해.",SecondaryValue=광역 피해 계수(2)
engineer_defend,SK_ENG_002,에너지 쉴드,Engineer,Basic,Defense,Surface,ShieldSelf,Self,1,0,5,DEF,1,1,0,None,0,0,0,,,,,자신에게 (5+방어)의 보호막을 생성한다.,
engineer_special,SK_ENG_003,과부하 방출,Engineer,Basic,Special,Surface,HitAllEnemies,AllEnemies,1,0,3,ATK,1,1,0,None,0,0,0,,,,,전체 적에게 (3+공격) 피해를 준다.,
paladin_attack,SK_PAL_001,기본 검술,Paladin,Basic,Attack,Surface,HitEnemy,SingleEnemy,1,0,5,ATK,1,1,0,None,1,1,0,,,,,1명의 적에게 (5+공격) 피해를 준다.,
paladin_defend,SK_PAL_002,기본 방패술,Paladin,Basic,Defense,Surface,ShieldSelf,Self,1,0,5,DEF,1,1,0,None,0,0,0,,,,,자신에게 (5+방어)의 보호막을 생성한다.,
paladin_special,SK_PAL_003,회복,Paladin,Basic,Special,Surface,HealAlly,SingleAlly,1,0,3,DEF,1,1,0,None,0,0,0,,,,,아군 1명의 체력을 (3+방어)만큼 회복한다.,"신의 가호 패시브: 회복량만큼 자신도 보호막 획득(회복 대상이 본인일 때 명확, 타인 대상 시 시전자에게 적용 여부는 기획 확정 필요)"
assassin_attack,SK_ASN_001,급소 찌르기,Assassin,Basic,Attack,Surface,HitEnemyMark,SingleEnemy,1,0,5,ATK,1,1,0,Mark,1,1,0,,,,,1명의 적에게 (5+공격) 피해와 1사이클 급소 지정을 부여한다.,"StatusValue=1(급소 지정 스택), StatusDuration=1사이클"
assassin_defend,SK_ASN_002,은신,Assassin,Basic,Defense,Surface,EvasionSelf,Self,1,0,0,DEF,1,1,0,Evasion,1,1,0,,,,,1사이클 동안 회피를 (1+방어)만큼 증가시킨다.,StatusDuration=1사이클
assassin_special,SK_ASN_003,독 연막,Assassin,Basic,Special,Surface,ShieldSelfPoisonAll,AllEnemies,1,0,2,DEF,1,1,0,Poison,2,1,0,,,,,"1사이클 동안 보호막을 (2+방어)만큼 증가시키고, 전체 적에게 2사이클 동안 중독 부여한다.",StatusValue=2(중독 스택)
aura_of_valor,SK_CMN_301,용기의 오라,Paladin,Common,Special,Surface,BraveAll,AllAllies,0,1,0,None,1,1,0,Brave,1,1,0,,,,,아군의 1사이클 동안 아군 전체의 공격을 1만큼 증가시킨다.,몬스터 방 처치 보상 풀. 스킬에너지로 사용
